,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
162,Finland,Western Europe,91.93457416807674,75.15532332538065,69.01703163017032,71.0701139351446,2016
163,Canada,North America,91.76536943034407,76.9818481678594,66.6727493917275,72.53286590709904,2016
164,Netherlands,Western Europe,90.543335213386,78.29307598132159,62.5985401459854,71.19281332164768,2016
165,New Zealand,Australia and New Zealand,90.44933258131229,72.73278584041908,71.33698296836984,72.8273444347064,2016
166,Australia,Australia and New Zealand,90.05452152660276,77.21063149609495,67.19951338199513,74.60122699386503,2016
167,Sweden,Western Europe,89.6409099454785,77.60512237515533,66.15815085158151,72.84925503943909,2016
168,Israel,Middle East and Northern Africa,89.18969731152472,71.50334272139625,60.5456204379562,74.42331288343557,2016
169,Austria,Western Europe,86.40721940214327,77.52868308558129,65.92639902676399,70.6091148115688,2016
170,United States,North America,86.12521150592217,80.6065672070307,63.7360097323601,68.27344434706399,2016
171,Costa Rica,Latin America and Caribbean,85.8056025568716,57.13115266001905,62.13625304136253,66.7361963190184,2016
172,Puerto Rico,Latin America and Caribbean,84.9031772889641,72.66703736057569,65.76216545012166,68.1489921121823,2016
173,Germany,Western Europe,84.05715360030082,77.39451342346185,66.77250608272506,71.41717791411043,2016
174,Brazil,Latin America and Caribbean,83.26753149088177,58.133416072265945,63.222627737226276,53.82559158632778,2016
175,Belgium,Western Europe,82.83511938334276,76.19286640973864,64.02007299270073,71.83085013146363,2016
176,Ireland,Western Europe,82.42150780221849,79.29427031259542,70.6551094890511,71.38913234005258,2016
177,Luxembourg,Western Europe,81.74468885128786,90.73931666972514,63.25973236009732,74.09465381244522,2016
178,Mexico,Latin America and Caribbean,79.99623989471705,59.605540572174185,43.46715328467153,62.35144609991236,2016
179,Singapore,Southeastern Asia,79.2630193645422,87.96130976122004,52.772506082725066,83.01402278702892,2016
180,United Kingdom,Western Europe,78.99981199473586,74.98694307212318,66.10218978102189,70.98247151621385,2016
181,Chile,Latin America and Caribbean,78.62380146644108,65.03754099630908,55.10158150851582,71.76424189307625,2016
182,Panama,Latin America and Caribbean,78.5485993607821,63.23934679961653,60.16545012165451,62.08150744960561,2016
183,Argentina,Latin America and Caribbean,77.58977251363041,61.54538799779764,64.84914841849148,61.096406660823845,2016
184,Czech Republic,Central and Eastern Europe,76.57454408723446,69.97936779429443,61.30961070559611,66.93777388255916,2016
185,United Arab Emirates,Middle East and Northern Africa,76.14213197969546,84.11101463673236,52.98905109489051,63.97283085013146,2016
186,Uruguay,Latin America and Caribbean,75.61571724008273,63.1597002671233,62.73905109489052,63.26292725679229,2016
187,Malta,Western Europe,74.54408723444259,69.90827390958572,66.83637469586374,70.3900087642419,2016
188,Colombia,Latin America and Caribbean,74.4124835495394,55.07477540833169,62.146593673965945,52.28659070990359,2016
189,France,Western Europe,74.35608197029518,74.56198338533049,61.13625304136253,73.43996494303242,2016
190,Thailand,Southeastern Asia,74.28087986463623,58.22749519789552,63.55048661800487,56.89307624890447,2016
191,Saudi Arabia,Middle East and Northern Africa,72.49482985523595,79.62140909035281,51.599148418491495,51.943032427695,2016
192,Taiwan,Eastern Asia,72.49482985523595,74.69080764258462,56.34063260340633,69.73269062226117,2016
193,Qatar,Middle East and Northern Africa,72.419627749577,97.51461733651415,53.506082725060836,62.85977212971078,2016
194,Spain,Western Europe,72.15642037977064,71.76366393833716,68.7013381995134,77.03418054338299,2016
195,Algeria,Middle East and Northern Africa,72.04361722128222,56.268938855243455,50.67457420924575,54.16652059596845,2016
196,Guatemala,Latin America and Caribbean,71.46080090242528,44.609541763014526,52.992092457420924,47.36108676599474,2016
197,Suriname,Latin America and Caribbean,70.42677194961459,58.63160780571347,47.36374695863748,44.63891323400525,2016
198,Kuwait,Middle East and Northern Africa,69.86275615717241,86.44268023898354,53.380778588807786,55.71340929009641,2016
199,Bahrain,Middle East and Northern Africa,69.46794510246288,76.98665903223817,57.419099756691,57.577563540753715,2016
200,Trinidad and Tobago,Latin America and Caribbean,68.5279187817259,70.86510138047741,59.95681265206812,46.10692375109553,2016
201,Venezuela,Latin America and Caribbean,66.94867456288776,60.59925133663657,62.835766423357676,54.25416301489921,2016
202,Slovakia,Central and Eastern Europe,66.83587140439934,68.40674968291823,65.85644768856449,61.671340929009645,2016
203,El Salvador,Latin America and Caribbean,66.64786614025194,46.70280230827258,49.254866180048666,52.23488168273443,2016
204,Malaysia,Southeastern Asia,65.46343297612334,66.89346556554706,53.54318734793188,54.65907099035934,2016
205,Nicaragua,Latin America and Caribbean,65.21902613273173,37.088557117513844,54.45316301703163,57.15425065731814,2016
206,Uzbekistan,Central and Eastern Europe,65.12502350065803,39.337368944352605,71.05231143552311,43.96406660823839,2016
207,Italy,Western Europe,64.93701823651064,72.42756322260952,63.36192214111923,74.58545135845749,2016
208,Ecuador,Latin America and Caribbean,64.91821771009589,52.01399658245131,52.2956204379562,60.13409290096406,2016
209,Belize,Latin America and Caribbean,64.5422071818011,46.83429926795937,41.760948905109494,39.937773882559156,2016
210,Japan,Eastern Asia,63.88418875728522,73.77032892477708,64.50973236009733,80.1849255039439,2016
211,Kazakhstan,Central and Eastern Europe,63.84658770445573,65.7180110356639,58.11678832116789,50.29447852760737,2016
212,Moldova,Central and Eastern Europe,63.432976123331464,36.977907236801784,50.56690997566909,45.844872918492555,2016
213,Russia,Central and Eastern Europe,62.66215454032713,65.87035507432543,64.02737226277372,51.7011393514461,2016
214,Poland,Central and Eastern Europe,62.26734348561761,66.59572651454891,63.67700729927008,60.524101665205954,2016
215,South Korea,Eastern Asia,62.26734348561761,72.66971006300835,43.913625304136254,77.6906222611744,2016
216,Bolivia,Latin America and Caribbean,62.02293664222599,42.454274521318816,50.960462287104626,41.16564417177914,2016
217,Lithuania,Central and Eastern Europe,61.85373190449332,67.8438785506004,64.72688564476886,56.68185801928133,2016
218,Belarus,Central and Eastern Europe,61.64692611393119,60.43621648824441,63.864355231143556,55.30587204206836,2016
219,North Cyprus,Western Europe,61.06410979507427,70.10017394425059,49.772506082725066,73.74408413672217,2016
220,Slovenia,Central and Eastern Europe,61.00770821583005,69.46193260333176,64.24148418491484,69.36985100788782,2016
221,Peru,Latin America and Caribbean,60.53769505546157,53.24130153952804,49.425182481751825,55.20946538124453,2016
222,Turkmenistan,Central and Eastern Europe,58.939650310208705,57.7394597336921,63.14902676399027,38.56792287467134,2016
223,Mauritius,Sub-Saharan Africa,58.7516450460613,61.13646452560091,46.04318734793188,58.00964066608238,2016
224,Libya,Middle East and Northern Africa,58.1312276743749,57.0290554270915,57.83211678832117,45.84049079754601,2016
225,Latvia,Central and Eastern Europe,57.097198721564205,65.10061677371982,57.80109489051095,56.04907975460123,2016
226,Cyprus,Western Europe,56.83399135175786,70.48290493260727,43.00304136253041,74.3908851884312,2016
227,Paraguay,Latin America and Caribbean,56.68358714043994,47.773486902795526,67.58576642335767,51.09114811568799,2016
228,Romania,Central and Eastern Europe,56.49558187629253,62.525200709610196,44.28406326034063,59.24802804557405,2016
229,Estonia,Central and Eastern Europe,56.28877608573042,68.40193881853945,63.967761557177624,59.68273444347064,2016
230,Jamaica,Latin America and Caribbean,56.15717240082723,47.75210528333426,58.620437956204384,52.12007011393515,2016
231,Croatia,Central and Eastern Europe,55.743560819702964,63.422694186496884,36.988442822384435,61.80893952673093,2016
232,Hong Kong,Eastern Asia,55.17954502726078,80.75303130034037,52.932481751824824,83.50306748466258,2016
233,Somalia,Sub-Saharan Africa,54.84113555179546,0.0,20.445863746958636,10.049079754601227,2016
234,Kosovo,Central and Eastern Europe,54.10791502162061,48.186152158397974,40.18369829683699,47.32690622261175,2016
235,Turkey,Middle East and Northern Africa,53.88230870464375,62.269690357048056,53.355839416058394,56.72042068361086,2016
236,Indonesia,Southeastern Asia,52.47226922353827,50.83693843110856,53.29987834549878,43.27256792287467,2016
237,Jordan,Middle East and Northern Africa,52.265463432976134,53.27925391407179,52.44282238442823,53.20946538124453,2016
238,Azerbaijan,Central and Eastern Europe,52.03985711599927,60.067918093024076,46.25425790754258,47.768624014022784,2016
239,Philippines,Southeastern Asia,51.814250799022375,43.413774694643166,53.453163017031635,41.22348816827344,2016
240,China,Eastern Asia,51.17503290092124,54.940071205725715,48.28527980535281,64.4706397896582,2016
241,Bhutan,Southern Asia,50.25380710659899,45.58026728655605,55.25304136253041,43.6099912357581,2016
242,Kyrgyzstan,Central and Eastern Europe,50.04700131603684,29.957787027181283,58.04987834549878,48.596844872918496,2016
243,Serbia,Central and Eastern Europe,49.89659710471893,55.29126430537702,49.47019464720195,56.59947414548642,2016
244,Bosnia and Herzegovina,Central and Eastern Europe,49.63338973491258,49.91699425378755,39.15267639902677,62.021034180543374,2016
245,Montenegro,Central and Eastern Europe,49.595788682083096,57.64377698660292,45.117396593673966,55.68185801928133,2016
246,Dominican Republic,Latin America and Caribbean,49.48298552359467,54.94381298913144,60.52068126520681,50.54250657318142,2016
247,Morocco,Middle East and Northern Africa,49.407783417935704,44.93240421687966,23.47627737226278,52.12182296231376,2016
248,Hungary,Central and Eastern Europe,49.294980259447264,66.35892507901538,56.669099756691,59.253286590709905,2016
